right_hip_xyz,right_knee_xyz,right_ankle_xyz,knee_angle_xyz
"[0.5438545942306519, 0.6461735367774963, -0.002037087921053171]","[0.5322214961051941, 0.8011962175369263, -0.01291835866868496]","[0.5331808924674988, 0.9438925385475159, 0.09006506204605103]",139.93854267834567
"[0.5438503623008728, 0.6462116837501526, -0.0020413401070982218]","[0.5322052240371704, 0.8012221455574036, -0.012821237556636333]","[0.5331807136535645, 0.9438961744308472, 0.0909578949213028]",139.76204224649783
"[0.5438497066497803, 0.6462604999542236, -0.0020453366450965405]","[0.5322170853614807, 0.8012426495552063, -0.012772249057888985]","[0.5331805348396301, 0.9439462423324585, 0.09113000333309174]",139.75505749351257
"[0.5438395738601685, 0.6463064551353455, -0.00204981816932559]","[0.53226238489151, 0.8015263676643372, -0.01299468893557787]","[0.5331785678863525, 0.9441326260566711, 0.09096783399581909]",139.65189676662285
"[0.543836772441864, 0.6463307738304138, -0.0020480931270867586]","[0.5322619676589966, 0.8015245795249939, -0.01296989805996418]","[0.5331791639328003, 0.944122850894928, 0.09145183861255646]",139.53873429637088
"[0.5437530875205994, 0.6463903784751892, -0.002073498209938407]","[0.5321081876754761, 0.8019126057624817, -0.012861336581408978]","[0.5331801176071167, 0.9441244006156921, 0.09327460825443268]",139.07191739508093
"[0.5437504053115845, 0.646395742893219, -0.002090491820126772]","[0.532111406326294, 0.8019182682037354, -0.012850508093833923]","[0.5331759452819824, 0.9441267848014832, 0.09275589883327484]",139.2180994591587
"[0.543747067451477, 0.6464014053344727, -0.002090702299028635]","[0.5321459174156189, 0.8019378781318665, -0.012847895734012127]","[0.5331703424453735, 0.9441283345222473, 0.0933288186788559]",139.07226465175805
"[0.5437437891960144, 0.6464127898216248, -0.0021617081947624683]","[0.5321558713912964, 0.8019338250160217, -0.012801311910152435]","[0.5331681370735168, 0.9440839290618896, 0.09332071244716644]",139.1218448834486
"[0.5436688661575317, 0.6464186310768127, -0.002168454695492983]","[0.5320230722427368, 0.8026226162910461, -0.01221874263137579]","[0.5331608057022095, 0.9440338015556335, 0.10194222629070282]",137.19286585474907
"[0.5436494946479797, 0.6463895440101624, -0.002138113835826516]","[0.5320045351982117, 0.8030194640159607, -0.012181544676423073]","[0.5331351161003113, 0.9440351128578186, 0.10079045593738556]",137.41945744251652
"[0.5435937643051147, 0.6463899612426758, -0.0021362067200243473]","[0.5319306254386902, 0.8032902479171753, -0.01175188459455967]","[0.5331183671951294, 0.9440038800239563, 0.10036792606115341]",137.72856119491132
