Frame,Left Hip Flexion (deg),Left Hip Adduction (deg),Left Hip Rotation (deg),Right Hip Flexion (deg),Right Hip Adduction (deg),Right Hip Rotation (deg),Left Knee Flexion (deg),Right Knee Flexion (deg)
138,-72.01271219848175,-36.535427170676584,-164.1259436678122,0.030283381190570433,0.02973087389267613,-89.96971148501711,112.47187609533296,13.190321290541078
139,-70.60050891468529,-36.07971420666058,-162.89232175306776,-0.0,-0.0,-90.0,110.77486426886978,10.458104259835181
140,-71.1168320588836,-37.15252483660628,-163.2095123221902,0.025363314814145266,0.025026475866495108,-89.97463441837719,110.63140685487252,10.127482147981064
141,-71.11805558400552,-36.80888623031235,-163.26110664421967,0.05072108897802081,0.0497206837147731,-89.94926884669714,109.6701352332237,9.036659740459198
142,-70.7324491780903,-34.79927647036877,-163.22181078634418,0.10982411758361442,0.10785692292936834,-89.89015794269471,108.20549064009269,7.9425349121420235
143,-68.58796282048704,-32.83505609852857,-161.61622002768203,0.3391224008987704,0.33469088527449553,-89.66084826169633,105.92362149782636,5.1399704252681815
144,-68.84271884547145,-32.8990238035384,-161.8379303575959,0.3475395442669864,0.3424570636539997,-89.65242274144843,105.89361722218953,5.189730361350512
145,-69.88800581025139,-33.77825668523547,-162.62778185310603,0.3106929999108636,0.30636083027001854,-89.68927637057402,106.5287584756119,6.116641314661484
146,-69.69999458672774,-33.4485158957104,-162.5170696265476,0.31602667989035804,0.310258537519176,-89.68391970214107,106.58534390983343,6.057265107608932
147,-70.56432421263459,-33.65465882470501,-163.2661263211202,0.2936936445827935,0.28733531102920434,-89.70623600594976,107.05599468207453,7.077220554204087
148,-70.64243715695817,-33.848589477043426,-163.30263362521097,0.29385170283154016,0.28811130701877286,-89.70609111158161,107.14261414029691,7.091805798532314
149,-70.40729765828816,-33.23900418829261,-163.19913820644462,0.3901366332470209,0.38202045203923823,-89.60977715333463,109.01303279731809,9.761149278972885
150,-70.31543032991713,-32.80120307134199,-163.19759196870925,0.4197960204972767,0.4092680292052676,-89.58006857307886,108.07644324569114,8.74219752416351
151,-70.47333830832066,-32.45241293835639,-163.40531742103315,0.4249670355595655,0.41464316299618736,-89.57490444569389,107.87314981489789,8.804531469744294
152,-70.16822211991527,-31.90925198180722,-163.2378771722824,0.3615795343932315,0.35095203982101425,-89.63825955909435,108.27228028221603,9.382508703557894
153,-70.25657305793764,-31.940186108063273,-163.3106420095789,0.3653668234887635,0.35565024034618486,-89.63450044823422,108.27005191828752,9.433955989134878
154,-69.96148624172709,-31.89513488895963,-163.0557938252442,0.31353565001247635,0.30696803698128056,-89.6863940938594,109.09881839594466,10.325570440543055
155,-69.96992736218617,-31.95167538283145,-163.05203464448596,0.29805733324992234,0.29140232815715184,-89.70186667494526,109.61134481925863,10.839262892406508
156,-69.75243581839602,-31.720561248621493,-162.90384581925775,0.2802013668986078,0.2727207337146926,-89.71969603901195,108.59079492605925,9.526650082803721
157,-69.842842494743,-31.529139847546443,-163.0239768756008,0.25868463872128833,0.2499608745504942,-89.74116313120498,108.833669741471,9.772014562865307
158,-69.53514709373648,-31.02094952139509,-162.85598637987883,0.2671327107912565,0.2566052200206223,-89.73265134153856,108.03669864112486,8.80622514214693
159,-69.6807142631092,-30.89601578646384,-163.01225068583503,0.19870794289190355,0.19019791500874228,-89.80110167635736,108.75534698954702,9.664194235958977
160,-69.75040827760436,-31.182161802696644,-163.0136131451817,0.19360072116629579,0.18402466101928006,-89.80615012666885,110.29130786778457,11.287323062567246
161,-69.8512079132549,-31.25333102641167,-163.0884747149204,0.1942216567911443,0.18395842106492966,-89.80549204682339,110.3554032846471,11.312369668826625
162,-69.52355729939063,-31.0511406694324,-162.83919119325054,0.30708977203215254,0.2896206843487895,-89.69238339473722,109.7894468780921,10.667963567661774
163,-69.72108913301622,-31.130544467124203,-162.99836746138024,0.30393022741431774,0.2861869395527079,-89.69551974962523,108.95772008904069,9.666950687301973
164,-69.83182528365597,-31.16404364696649,-163.08986678275699,0.29042291425392497,0.27303729909322433,-89.70902358115848,108.40923721909724,8.975721996395002
165,-69.87103822901257,-31.211120285246977,-163.1149085650715,0.28039942700988685,0.26372444504659576,-89.71907341121609,108.41757558882323,8.951660111585785
166,-69.73143442140362,-31.049535807682457,-163.02468341712867,0.25400275905353137,0.23869830813749954,-89.74550661459503,108.05788346885404,8.479503255651098
167,-69.76339228030398,-31.0697084163575,-163.0488390162889,0.22709130578046183,0.2130419567410303,-89.77244544678435,108.25516438351842,8.6321665180242
168,-69.96842642068938,-31.026288803617803,-163.23994739628174,0.22935689559173636,0.2147943340770255,-89.77014945525835,108.39077478139782,8.887533943773253
169,-69.99342628736372,-30.896719721518362,-163.28924767179663,0.2163610556021012,0.20239427077980107,-89.78315704008651,108.33564497151724,8.875278687378731
170,-70.17206415883294,-30.81464260010393,-163.46413438300237,0.16060806668291047,0.1500146189744176,-89.83901790115833,108.79131544470638,9.44790135539414
171,-70.1593130771421,-30.772011479183533,-163.46182647139528,0.16066131513559803,0.1499874444861676,-89.83895888322438,108.78016845650697,9.446238348228029
172,-69.97108411899563,-30.630658670011066,-163.32585526969686,0.14669753487295611,0.13680002819625453,-89.85294442340026,109.09900173193331,9.787873139075565
173,-69.25065531890765,-30.244893350222686,-162.77363358684153,0.2024466818076625,0.1886349425971606,-89.79704767844679,108.63248389343565,9.164488443929484
174,-69.65726060556676,-30.42241640289641,-163.09395230253457,0.27854909563725666,0.25946381860323037,-89.72074899068336,108.18803893505871,8.814796174093543
175,-69.69212086873156,-30.396101225077654,-163.1304905240322,0.2759158450191899,0.2573085601404836,-89.72341137124778,108.13649066903841,8.815581673157794
176,-69.94837356057339,-30.54185901225576,-163.32483148755824,0.14962226103950055,0.1397526700345518,-89.85002923609593,109.79115478790679,10.720826458226766
177,-69.93426879625176,-30.620261574369703,-163.29561416518123,0.14827373287881737,0.13862769592608332,-89.85139067169986,109.82924291359048,10.727931248829101
178,-69.9774498798139,-30.720256656162686,-163.3124090894258,0.05385461879822571,0.05035505390464996,-89.94602377525815,110.75550185232385,11.65584340795481
179,-69.62757421285343,-30.550499082440897,-163.03971737853604,-0.06052872112162147,-0.05658574967550178,-90.06066609681325,110.41861687655235,11.0220318131448
180,-69.62608657039183,-30.571558209453237,-163.03381185526823,-0.06049329778377176,-0.056554870079871186,-90.06063043187997,110.43140233421752,11.022125988929982
181,-70.07166565687697,-30.94170494891103,-163.34898627768357,-0.12085914561226062,-0.11299862065226494,-90.12113254576853,110.49768281415805,11.008640950469372
182,-70.12106249602165,-31.152255627994588,-163.3489862776836,-0.12085436990837636,-0.11292796820777183,-90.12113254576853,110.60876860818111,11.007918254036149
