right_foot_index,right_ankle,right_knee,right_hip,angle_xy,angle_hip
"[0.5024498105049133, 0.9358348846435547]","[0.527461588382721, 0.903576135635376]","[0.5037758350372314, 0.7993242740631104]","[0.5602795481681824, 0.7467625141143799]",120.12989696739638,145.09741929740605
"[0.5024076700210571, 0.9355901479721069]","[0.5277078747749329, 0.9034890532493591]","[0.503783643245697, 0.7989210486412048]","[0.5604137182235718, 0.75151127576828]",117.0485552970862,147.8757921789844
"[0.5028818249702454, 0.9353694319725037]","[0.5277112126350403, 0.90302574634552]","[0.5038366913795471, 0.7986744046211243]","[0.5606736540794373, 0.7527145743370056]",116.07300428628125,148.764474612771
"[0.5035325288772583, 0.9352596402168274]","[0.527730405330658, 0.9023838043212891]","[0.5045719742774963, 0.7985056042671204]","[0.5608581304550171, 0.7547209858894348]",115.31120392837998,149.73986218891199
"[0.5037623643875122, 0.9351972937583923]","[0.5278123617172241, 0.9019261002540588]","[0.5049771070480347, 0.7986373901367188]","[0.5611575245857239, 0.7563210129737854]",114.52136993139851,150.53714897528312
"[0.5041876435279846, 0.9351838827133179]","[0.5278944969177246, 0.9017040133476257]","[0.5052017569541931, 0.7985615134239197]","[0.5619429349899292, 0.7569054365158081]",113.87579777559652,151.1625366274027
"[0.5041729807853699, 0.9352931976318359]","[0.5278970003128052, 0.9017675518989563]","[0.5051831007003784, 0.7987182140350342]","[0.5621119737625122, 0.7575685381889343]",113.43014076806826,151.537011706875
"[0.5041643381118774, 0.9358916878700256]","[0.5278792381286621, 0.9018133878707886]","[0.5052662491798401, 0.7986987233161926]","[0.5622215867042542, 0.7555096745491028]",114.80379772187116,150.37213261396593
"[0.5041650533676147, 0.9362109303474426]","[0.5278265476226807, 0.9018768072128296]","[0.5052652955055237, 0.7983922958374023]","[0.5621968507766724, 0.7542310953140259]",115.50141939260902,149.8105677460769
"[0.5041190981864929, 0.9365675449371338]","[0.5277324914932251, 0.9018128514289856]","[0.5053730607032776, 0.7983364462852478]","[0.5621676445007324, 0.7521160244941711]",116.94615255101594,148.60165054647626
"[0.5041106939315796, 0.9368670582771301]","[0.527583122253418, 0.9018135666847229]","[0.505347728729248, 0.7981681823730469]","[0.5621675252914429, 0.7507559657096863]",117.73435453359188,147.96070100231927
"[0.5040584802627563, 0.9369081258773804]","[0.5274257659912109, 0.901818037033081]","[0.5053576231002808, 0.7979515790939331]","[0.5621610283851624, 0.7474377751350403]",119.6508072653065,146.2984704897094
"[0.5040868520736694, 0.9370462894439697]","[0.5272225141525269, 0.9018089771270752]","[0.5053697824478149, 0.7975935339927673]","[0.5618666410446167, 0.7419289946556091]",122.73217254614723,143.53741851092238
"[0.503675639629364, 0.9375131726264954]","[0.5270313024520874, 0.9018261432647705]","[0.5055144429206848, 0.7971344590187073]","[0.5619739294052124, 0.7347109913825989]",126.25789657633497,140.33363886420787
