frame,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal
102,159.50200179380286,35.417663392566816,177.49957273433756,164.99104546293827,0.0,-98.85946136555677,-9.104901272422,-173.9544382988514,35.354746572280284,177.50538554429443,165.7571659346084,0.0,-70.7665638079322,-6.4270158271268
103,160.15855277339517,33.79990905097445,177.91666851842774,165.2340152497109,1.2722218725854067e-14,-100.05295691053026,-8.546058105640888,-173.68420627763496,33.57780612263348,177.9341009405257,166.02124803200687,0.0,-70.5612496443349,-6.3236565374310265
104,160.8636447533172,32.543820133429,178.1793836125817,165.4026653442341,0.0,-99.38096662178748,-8.608384194749263,-173.76653616789304,32.25778899261861,178.19936935639626,166.2854646463747,0.0,-70.9986744719276,-6.3629385196019035
105,162.49422633296032,30.717302594923737,178.4240224221265,166.35284540762177,0.0,-97.76972567374833,-8.474081861509172,-174.51778744103032,30.425627799333416,178.44224152792484,167.26035133694606,0.0,-72.31227019432677,-6.258459185984976
106,162.30023326447346,30.79393295680445,178.3658661113448,165.89093232473024,1.2722218725854067e-14,-97.5951360586825,-8.676349197877965,-174.06578127778,30.434152036777615,178.38911875767474,166.75009036341257,0.0,-72.12402775877919,-6.426894928630284
107,162.565904557332,31.449782706943726,178.34339720400888,165.75690390733877,-1.2722218725854067e-14,-97.30997262015617,-8.613329324837688,-173.8149917965532,30.981301338049157,178.3736863423295,166.53565769382166,1.2722218725854067e-14,-71.71473099131693,-6.374569048343087
108,162.77222865118839,31.38354649142036,177.99856783039448,165.53956906416147,1.2722218725854067e-14,-96.94677915162977,-8.686470985303217,-173.75201863079715,30.828993645474824,178.04190317195247,166.42628261146248,0.0,-72.51839930190799,-6.543530535594292
109,162.99217788393955,32.122901599648834,177.4015843804448,165.310297941587,0.0,-96.5600797936358,-8.659664570374153,-173.42483495542757,31.504881287930157,177.46344688993915,166.43606609353048,0.0,-70.49244939334936,-5.883368574448345
110,163.09591640082664,32.12210253737148,177.0515132931429,165.27276941394055,1.2722218725854067e-14,-97.09793741527963,-8.310158849936943,-173.56649022935736,31.712024345321193,177.09820608602675,166.30548000958032,0.0,-70.10066466444106,-5.487169546263659
111,164.04517337238144,31.352009249089097,177.20739410118426,165.876895680449,0.0,-97.72172748984718,-7.44528101984102,-173.970119144709,30.798973267528034,177.26775280470613,166.77324506201003,0.0,-70.08519060686648,-5.157691464568265
112,164.17542087415913,31.3464283821794,177.2883195547463,165.92880241208073,0.0,-97.45386720459747,-7.371742639588114,-174.16704374653494,31.115673544610182,177.3128591946697,166.4559605261288,0.0,-70.79422308811947,-5.152196975770128
